ID,Label,Label_Confidence
818021711,Positive,0.6715
911806503,Positive,0.6642
882035319,Negative,0.6683
880892525,Neutral,0.336
828003448,Positive,1.0
146000529,Positive,0.6716
415278724,Positive,0.6828
854152848,Positive,0.6798
413977004,Positive,1.0
914806371,Negative,0.3483
458470940,Positive,0.6636
889261274,Positive,1.0
660747598,Highly positive,0.6613
802178592,Positive,1.0
710415924,Positive,0.6635
423367766,Negative,0.6841
433006883,Positive,0.6681
628530754,Neutral,1.0
153682177,Positive,0.6
770820082,Positive,0.6727
229186719,Positive,0.6677
180431629,Positive,0.6616
345411025,Neutral,1.0
553206383,Positive,0.6689
949101563,Negative,0.6709999999999999
245181594,Positive,1.0
430454422,Negative,0.6709999999999999
383746842,Positive,0.8017
122464180,Positive,1.0
129928994,Negative,0.6772
322832420,Negative,0.3388
390873877,Neutral,0.6635
266339907,Positive,1.0
904601403,Positive,0.6676
224101116,Highly negative,0.5621
528137374,Negative,0.6658
516342097,Neutral,0.6654
626022636,Positive,0.6635
190861094,Positive,0.6571
856393451,Positive,0.6727
308621919,Positive,1.0
697515065,Neutral,0.6827
391684382,Neutral,0.6594
919247761,Positive,0.6709999999999999
672867097,Positive,0.6645
123647857,Positive,0.6646
575384995,Positive,0.6738
314219442,Neutral,0.6645
577277433,Positive,0.669
799971650,Positive,0.6669
770918342,Positive,1.0
879592181,Positive,0.8802
632041514,Positive,1.0
587566163,Positive,1.0
250529243,Negative,0.677
685525691,Neutral,0.6651
781025694,Highly negative,0.6835
440708945,Neutral,0.6629
237227771,Neutral,0.6628
119451500,Neutral,1.0
866912665,Positive,0.6676
917078452,Positive,0.7989
959025772,Positive,0.6614
903663005,Positive,0.6629999999999999
201572057,Positive,1.0
585728688,Highly negative,0.6809999999999999
811609138,Negative,1.0
901333829,Highly negative,0.3444
149174663,Positive,0.6647
811942648,Positive,0.6816
633078419,Highly negative,0.5593
416483950,Positive,0.3363
269762798,Positive,1.0
479728105,Positive,0.338
113060708,Highly positive,0.341
959594216,Positive,0.3361
779894129,Negative,0.6643
700694118,Positive,1.0
845156723,Positive,1.0
810195145,Neutral,0.6718
874660292,Positive,1.0
399586958,Negative,0.6713
408439976,Negative,1.0
581637377,Positive,1.0
674019720,Positive,0.6682
409867712,Positive,0.669
967020361,Positive,1.0
592990901,Positive,0.6646
970046082,Negative,0.6709
556961784,Positive,0.6632
515455736,Negative,1.0
740273272,Highly negative,0.3351
664161834,Positive,1.0
130323854,Positive,0.667
640291215,Positive,0.6659999999999999
493684119,Positive,0.6681
663667054,Positive,1.0
697807294,Positive,0.6626
441461583,Positive,0.6719
315999598,Positive,1.0
149538565,Positive,0.6629999999999999
534365606,Negative,0.6697
863745970,Positive,0.6658
845580290,Positive,0.6714
237116024,Highly positive,0.6649
779916784,Positive,0.3371
241974605,Highly negative,0.3365
557559398,Neutral,0.6649
470289460,Negative,0.3368
803850234,Neutral,0.6621
681577844,Positive,1.0
914822312,Neutral,0.6646
177487728,Positive,0.6655
789748011,Neutral,0.6578
638140795,Positive,1.0
507970065,Negative,0.7190000000000001
906529324,Positive,1.0
648229486,Highly positive,0.6675
724343772,Positive,1.0
936489359,Positive,1.0
888975163,Positive,0.6677
598877560,Neutral,0.6659999999999999
293703523,Positive,0.6612
528110790,Positive,0.6654
203990986,Positive,0.6671
732935803,Negative,0.6651
623299719,Positive,1.0
948820135,Positive,0.6698
431104819,Negative,0.6666
438196291,Positive,0.6728
572921789,Positive,0.6709999999999999
789325857,Positive,0.6674
652821308,Neutral,0.6688
434379225,Positive,0.66
961751926,Negative,0.3374
597571285,Negative,0.3377
874077108,Positive,1.0
859560846,Positive,1.0
138680135,Positive,0.6622
496291583,Neutral,0.6668
686497155,Neutral,0.6623
735513253,Positive,1.0
695621111,Positive,0.3385
375080460,Positive,0.6665
966629084,Negative,0.3415
240232870,Neutral,0.6674
546966558,Positive,1.0
878515350,Positive,0.6707
406264964,Negative,0.3462
639305361,Positive,1.0
357971827,Positive,0.3428
227333208,Positive,0.6659
612150796,Positive,0.6562
731938897,Highly negative,0.4804
986748497,Positive,0.6679999999999999
137574126,Positive,0.6842
779006996,Neutral,0.3368
760663761,Positive,0.6628
950207971,Neutral,0.3352
296769697,Positive,0.6665
716650569,Highly negative,0.6651
875089772,Positive,1.0
730812488,Positive,0.667
677201757,Positive,0.6724
152720023,Positive,0.6786
697406236,Positive,1.0
841074838,Positive,1.0
280408039,Positive,0.6581
753058898,Neutral,1.0
502105371,Neutral,1.0
356454133,Negative,1.0
204459572,Positive,0.6606
499329640,Positive,0.6624
699178474,Positive,0.6671
815318719,Positive,0.6609
589898603,Positive,0.6608
573943288,Positive,0.6715
791910007,Negative,0.669
270439359,Neutral,0.3389
444537348,Positive,0.3345
629064545,Positive,1.0
865486708,Positive,0.6553
740147052,Positive,1.0
326479651,Positive,1.0
447197219,Neutral,1.0
483053153,Positive,1.0
881071246,Neutral,0.6736
575297705,Neutral,0.3346
751718824,Positive,0.6696
695113129,Neutral,0.6629999999999999
735335173,Neutral,0.3374
667070488,Positive,0.6676
115246571,Positive,1.0
827441125,Neutral,0.3355
917211537,Positive,0.6645
429366810,Neutral,1.0
601664024,Neutral,1.0
520454316,Negative,0.5215
633473975,Positive,0.6653
324715268,Neutral,0.3355
896862848,Neutral,0.6611
749469854,Highly positive,0.4806
322315945,Positive,1.0
412801258,Positive,1.0
706423400,Negative,0.6626
885903605,Positive,1.0
816125655,Negative,0.3389
539172690,Neutral,0.6647
700450455,Positive,1.0
318514589,Neutral,1.0
288468602,Neutral,0.6691
404489538,Positive,0.6843
933959150,Positive,0.6609
709344178,Negative,1.0
488017118,Negative,0.3447
224710012,Positive,1.0
191172863,Highly positive,0.3384
509489626,Positive,1.0
722308008,Neutral,0.3372
246338830,Positive,1.0
796337484,Positive,1.0
903363842,Neutral,0.6632
178072383,Positive,1.0
199704614,Positive,0.6694
659639713,Positive,1.0
862932864,Positive,1.0
971774128,Positive,0.6707
294570323,Positive,1.0
864785994,Positive,1.0
286069772,Positive,0.3387
381488969,Positive,0.67
387917308,Neutral,0.6554
764783276,Positive,1.0
366970795,Negative,0.6661
413194460,Positive,0.6697
492479321,Neutral,0.3336
963333704,Positive,0.6733
547704266,Negative,0.6555
